T,strike,rf,dividend,v0,kappa,sigma,rho,theta,price,original_iv
27,107.491,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,2.64007,0.495363,
185,97.0553,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,17.8724,0.582794,
20,102.548,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,3.72741,0.514453,
270,132.321,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,9.57287,0.557184,
111,166.888,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.292233,0.464459,
305,218.645,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,1.49953,0.519857,
47,137.182,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.110815,0.415647,
193,135.044,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,5.96265,0.542488,
277,63.5125,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,41.0598,0.620067,
205,64.3853,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,39.0718,0.628652,
87,115.996,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,4.99861,0.531478,
78,126.324,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,2.17054,0.500807,
124,164.966,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.539495,0.479069,
23,126.635,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.0156363,0.362165,
67,110.993,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,5.12142,0.531275,
322,51.2622,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,50.9755,0.631015,
99,141.909,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,1.21666,0.489999,
244,35.1594,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,64.5698,0.676487,
312,178.531,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,4.04247,0.537713,
269,103.82,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,18.3135,0.578699,
235,59.8549,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,43.1195,0.630842,
31,74.5388,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,26.0833,0.696195,
282,34.039,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,65.625,0.668155,
69,132.374,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.980962,0.475305,
299,82.1118,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,29.6603,0.598144,
325,21.8845,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,76.9242,0.687472,
31,86.2569,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,15.8016,0.625856,
184,32.6296,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,66.9827,0.709536,
282,35.8477,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,63.9688,0.664227,
290,47.6465,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,53.6528,0.640935,
343,218.295,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,2.12347,0.527586,
